method,case_id,expected_classification,actual_classification,api_exercised,zig_exe,zig_version,zig_cc_version,compiler_target,c_language_mode,compile_flags,link_flags,compile_exit_code,python_exe,python_version,platform,stdc_version,flt_radix,dbl_mant_dig,dbl_max_exp,sizeof_double,dbl_max,dbl_min,locale_init,locale_active,locale_decimal_point,rounding_mode,token,token_length,token_hash,conversion_occurred,parsed_decimal,parsed_hex,raw_bytes,finite,isnan,isinf,signbit,endptr_offset,full_consumption,suffix,errno_before,errno_after,erange,comparison_target,exact_equality,restricted_parser_status,restricted_parser_hundredths,domain_size,success_count,rejection_count,failure_count,max_scaled_error,threshold,naive_label,strict_valid,strict_label,policy_differs,elapsed_s,sanitization_applied,skip_reason,failure_reason,conclusion
inspect_api,zig_compiler_marker,pass,pass,zig_cc,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.268095,True,,,zig cc available
parse_value,zig_compiler_marker,not_applicable,not_applicable,zig_cc,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.268143,True,,,zig cc available
inspect_status,zig_compiler_marker,not_applicable,not_applicable,zig_cc,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.268166,True,,,zig cc available
compare_contract,zig_compiler_marker,not_applicable,not_applicable,zig_cc,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.268186,True,,,zig cc available
ml_context_observation,zig_compiler_marker,not_applicable,not_applicable,zig_cc,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.268241,True,,,zig cc available
inspect_api,strtod_api_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,strtod api probe,,93b4e796441e92f0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.268384,True,,,
parse_value,strtod_api_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,strtod api probe,,93b4e796441e92f0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.268414,True,,,
inspect_status,strtod_api_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,strtod api probe,,93b4e796441e92f0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.268437,True,,,
compare_contract,strtod_api_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,strtod api probe,,93b4e796441e92f0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.26846,True,,,
ml_context_observation,strtod_api_marker,not_applicable,not_applicable,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,strtod api probe,,93b4e796441e92f0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.268484,True,,,
inspect_api,decimal_full_consumption_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,42.125,6,0e9620be7f16322f,True,42.125,0x1.51p+5,0000000000104540,True,,,0,6,True,,0,0,,42.125,True,,,,,,,,,,,,,0.268563,True,,,
parse_value,decimal_full_consumption_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,42.125,6,0e9620be7f16322f,True,42.125,0x1.51p+5,0000000000104540,True,,,0,6,True,,0,0,,42.125,True,,,,,,,,,,,,,0.268589,True,,,
inspect_status,decimal_full_consumption_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,42.125,6,0e9620be7f16322f,True,42.125,0x1.51p+5,0000000000104540,True,,,0,6,True,,0,0,,42.125,True,,,,,,,,,,,,,0.268611,True,,,
compare_contract,decimal_full_consumption_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,42.125,6,0e9620be7f16322f,True,42.125,0x1.51p+5,0000000000104540,True,,,0,6,True,,0,0,,42.125,True,,,,,,,,,,,,,0.268634,True,,,
ml_context_observation,decimal_full_consumption_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,42.125,6,0e9620be7f16322f,True,42.125,0x1.51p+5,0000000000104540,True,,,0,6,True,,0,0,,42.125,True,,,,,,,,,,,,,0.268657,True,,,
inspect_api,leading_space_sign_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST, \t-12.5,,54d03c26de27740f,True,-12.5,,,,,,1,7,True,,0,,,,,,,,,,,,,,,,,0.26873,True,,,
